job,ran_at,duration_s,rows,errors
analytics_user_ltv,2026-03-09T04:31:38.199668+00:00,3.887,1,0
daily_revenue,2026-03-09T04:33:31.642886+00:00,3.076,1,0
category_revenue,2026-03-09T04:33:34.148024+00:00,2.504,1,0
analytics_user_ltv,2026-03-09T04:33:37.912176+00:00,3.764,1,0
daily_revenue,2026-03-09T04:35:31.666863+00:00,3.077,1,0
category_revenue,2026-03-09T04:35:34.171913+00:00,2.504,1,0
analytics_user_ltv,2026-03-09T04:35:37.789084+00:00,3.617,1,0
daily_revenue,2026-03-09T04:37:31.842301+00:00,3.165,1,0
category_revenue,2026-03-09T04:37:34.352541+00:00,2.51,1,0
analytics_user_ltv,2026-03-09T04:37:37.941987+00:00,3.589,1,0
daily_revenue,2026-03-09T04:39:31.600272+00:00,3.031,1,0
category_revenue,2026-03-09T04:39:34.093557+00:00,2.493,1,0
analytics_user_ltv,2026-03-09T04:39:37.768336+00:00,3.674,1,0
daily_revenue,2026-03-09T04:41:31.803005+00:00,3.247,1,0
category_revenue,2026-03-09T04:41:34.394821+00:00,2.591,1,0
analytics_user_ltv,2026-03-09T04:41:38.757113+00:00,4.362,1,0
daily_revenue,2026-03-09T04:43:31.668580+00:00,3.092,1,0
category_revenue,2026-03-09T04:43:34.142016+00:00,2.472,1,0
analytics_user_ltv,2026-03-09T04:43:37.971847+00:00,3.829,1,0
daily_revenue,2026-03-09T04:45:31.628302+00:00,3.045,1,0
category_revenue,2026-03-09T04:45:34.231397+00:00,2.602,1,0
analytics_user_ltv,2026-03-09T04:45:37.960606+00:00,3.729,1,0
daily_revenue,2026-03-09T04:47:31.855010+00:00,3.238,1,0
category_revenue,2026-03-09T04:47:34.478605+00:00,2.621,1,0
analytics_user_ltv,2026-03-09T04:47:38.726547+00:00,4.247,1,0
daily_revenue,2026-03-09T04:49:31.669800+00:00,3.047,1,0
category_revenue,2026-03-09T04:49:34.185221+00:00,2.515,1,0
analytics_user_ltv,2026-03-09T04:49:37.690258+00:00,3.504,1,0
daily_revenue,2026-03-09T04:51:31.673624+00:00,3.109,1,0
category_revenue,2026-03-09T04:51:34.320394+00:00,2.646,1,0
analytics_user_ltv,2026-03-09T04:51:38.218395+00:00,3.897,1,0
daily_revenue,2026-03-09T04:53:31.662279+00:00,3.076,1,0
category_revenue,2026-03-09T04:53:34.287881+00:00,2.625,1,0
analytics_user_ltv,2026-03-09T04:53:37.963623+00:00,3.675,1,0
daily_revenue,2026-03-09T04:55:31.786148+00:00,3.217,1,0
category_revenue,2026-03-09T04:55:34.317016+00:00,2.529,1,0
analytics_user_ltv,2026-03-09T04:55:38.460227+00:00,4.143,1,0
daily_revenue,2026-03-09T04:57:31.766838+00:00,3.134,1,0
category_revenue,2026-03-09T04:57:34.540696+00:00,2.773,1,0
analytics_user_ltv,2026-03-09T04:57:38.616981+00:00,4.075,1,0
daily_revenue,2026-03-09T04:59:31.763521+00:00,3.159,1,0
category_revenue,2026-03-09T04:59:34.283324+00:00,2.517,1,0
analytics_user_ltv,2026-03-09T04:59:37.924638+00:00,3.64,1,0
daily_revenue,2026-03-09T05:01:31.723122+00:00,3.132,1,0
category_revenue,2026-03-09T05:01:34.189793+00:00,2.466,1,0
analytics_user_ltv,2026-03-09T05:01:38.020784+00:00,3.83,1,0
daily_revenue,2026-03-09T05:03:31.612709+00:00,3.051,1,0
category_revenue,2026-03-09T05:03:34.254231+00:00,2.641,1,0
analytics_user_ltv,2026-03-09T05:03:38.103689+00:00,3.849,1,0
daily_revenue,2026-03-09T05:05:31.824086+00:00,3.252,1,0
category_revenue,2026-03-09T05:05:34.344998+00:00,2.52,1,0
analytics_user_ltv,2026-03-09T05:05:38.564332+00:00,4.219,1,0
daily_revenue,2026-03-09T05:07:31.934445+00:00,3.279,1,0
category_revenue,2026-03-09T05:07:34.643119+00:00,2.708,1,0
analytics_user_ltv,2026-03-09T05:07:38.513121+00:00,3.869,1,0
daily_revenue,2026-03-09T05:09:31.880974+00:00,3.297,1,0
category_revenue,2026-03-09T05:09:34.628767+00:00,2.747,1,0
analytics_user_ltv,2026-03-09T05:09:38.127165+00:00,3.498,1,0
daily_revenue,2026-03-09T05:11:31.711214+00:00,3.152,1,0
category_revenue,2026-03-09T05:11:34.216651+00:00,2.505,1,0
analytics_user_ltv,2026-03-09T05:11:38.279053+00:00,4.062,1,0
daily_revenue,2026-03-09T05:13:31.683368+00:00,3.097,1,0
category_revenue,2026-03-09T05:13:34.188400+00:00,2.504,1,0
analytics_user_ltv,2026-03-09T05:13:37.712473+00:00,3.523,1,0
daily_revenue,2026-03-09T05:15:31.783104+00:00,3.241,1,0
category_revenue,2026-03-09T05:15:34.398309+00:00,2.614,1,0
analytics_user_ltv,2026-03-09T05:15:38.187661+00:00,3.788,1,0
daily_revenue,2026-03-09T05:17:31.892950+00:00,3.252,1,0
category_revenue,2026-03-09T05:17:34.545857+00:00,2.652,1,0
analytics_user_ltv,2026-03-09T05:17:38.373529+00:00,3.827,1,0
